CUSEC;PROV;DIST;SECC_CEN;A POR ELLOS;AHORA GETAF;AdAgetafe;C's;IUCM-LV;P.P.;P.S.O.E.;UDEC;UPyD;VOX;%A POR ELLOS;%AHORA GETAF;%AdAgetafe;%C's;%IUCM-LV;%P.P.;%P.S.O.E.;%UDEC;%UPyD;%VOX
2806503025;28;3;25;1;263;6;49;30;238;154;0;18;3;0.131;34.514;0.787;6.43;3.937;31.234;20.21;0.0;2.362;0.394
2806503026;28;3;26;2;147;4;44;32;229;162;0;12;0;0.316;23.259;0.633;6.962;5.063;36.234;25.633;0.0;1.899;0.0
2806503027;28;3;27;4;159;2;41;21;309;114;0;26;7;0.586;23.28;0.293;6.003;3.075;45.242;16.691;0.0;3.807;1.025
2806503028;28;3;28;43;183;6;58;56;235;188;2;26;7;5.348;22.761;0.746;7.214;6.965;29.229;23.383;0.249;3.234;0.871
2806504002;28;4;2;3;135;10;49;31;196;273;0;14;3;0.42;18.908;1.401;6.863;4.342;27.451;38.235;0.0;1.961;0.42
2806504003;28;4;3;6;187;7;54;61;192;266;0;25;9;0.743;23.172;0.867;6.691;7.559;23.792;32.962;0.0;3.098;1.115
2806504004;28;4;4;4;92;1;22;38;137;168;0;9;6;0.839;19.287;0.21;4.612;7.966;28.721;35.22;0.0;1.887;1.258
2806504005;28;4;5;3;129;4;17;21;134;176;0;14;4;0.598;25.697;0.797;3.386;4.183;26.693;35.06;0.0;2.789;0.797
2806504031;28;4;31;7;174;14;76;44;220;271;1;21;2;0.843;20.964;1.687;9.157;5.301;26.506;32.651;0.12;2.53;0.241
2806504032;28;4;32;3;264;14;106;55;354;317;2;40;6;0.258;22.739;1.206;9.13;4.737;30.491;27.304;0.172;3.445;0.517
