TIPO_ELECCION;AÑO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
4;2015;5;147;AGRUPACION;AGRUPACION DE ELECTORES CANDIDATURA COMPROMISO;147;147;147
4;2015;5;148;AGRUPACION;AGRUPACION DE ELECTORES CANDIDATURA DE NUESTROS PU;148;148;148
4;2015;5;149;CIA;AGRUPACION DE ELECTORES CANDIDATURA INDEPENDIENTE;149;149;149
4;2015;5;150;CID;AGRUPACION DE ELECTORES CANDIDATURA INDEPENDIENTE;150;150;150
4;2015;5;151;CANGUES PUE;Agrupación de Electores Cangues Puede;151;151;151
4;2015;5;152;A.E.C.SM.;AGRUPACIÓN DE ELECTORES CARDEÑAJIMENO-SAN MEDEL;152;152;152
4;2015;5;153;A.E.C.P.;AGRUPACION DE ELECTORES CARTAYA PUBLICA;153;153;153
4;2015;5;154;CC Veïns;"AGRUPACIÓN DE ELECTORES ""CC VEÏNS PER SANT FELIU""";154;154;154
4;2015;5;155;CxC;AGRUPACION DE ELECTORES CEHEGIN POR EL CAMBIO;155;155;155
4;2015;5;157;Cg;AGRUPACIÓN DE ELECTORES CIUDADANA DE GUADALCANAL;157;157;157
4;2015;5;158;A.E.C.A.;AGRUPACIÓN DE ELECTORES CIUDADANOS ALMAGRO;158;158;158
4;2015;5;159;AGRUPACION;AGRUPACION DE ELECTORES CIUDADANOS POR ISLA;159;159;159
4;2015;5;160;CXC;AGRUPACIÓN DE ELECTORES CIUDADANOS X CONSTANTINA;160;160;160
4;2015;5;161;CP;AGRUPACIÓN DE ELECTORES COLMENAREJO PUEDE;161;161;161
4;2015;5;162;CIC;AGRUPACION DE ELECTORES CORTES INICIATIVA CIUDADAN;162;162;162
4;2015;5;163;AGRUPACION;AGRUPACION DE ELECTORES-CREANDO PUEBLO POR NAVAHER;163;163;163
4;2015;5;164;CUBELLES SI;AGRUPACION DE ELECTORES CUBELLES SI ES POT/CUBELLE;164;164;164
4;2015;5;165;AEA;AGRUPACION DE ELECTORES DE ALAJAR;165;165;165
4;2015;5;166;AEA;AGRUPACIÓN DE ELECTORES DE ALDEHUELA DE PERIAÑEZ;166;166;166
4;2015;5;167;AGRUPACION;AGRUPACION DE ELECTORES DE ARBO;167;167;167
4;2015;5;168;AEB;AGRUPACION DE ELECTORES DE BENALAURIA;168;168;168
4;2015;5;169;AEBR;AGRUPACION DE ELECTORES DE BOADILLA DE RIOSECO;169;169;169
4;2015;5;170;AECA;AGRUPACION DE ELECTORES DE CARIÑO;170;170;170
4;2015;5;171;AGRUPACION;AGRUPACION DE ELECTORES DE CASTRILLO DEL VAL;171;171;171
4;2015;5;172;A. E. D. B.;AGRUPACIÓN DE ELECTORES DECIDEIX BONREPÒS I MIRAMB;172;172;172
4;2015;5;173;AGRUPACION;AGRUPACION DE ELECTORES DE CIRUELOS DE CERVERA;173;173;173
4;2015;5;174;AGRUPACION;AGRUPACION DE ELECTORES DE FUENTELVIEJO;174;174;174
4;2015;5;175;AEH;AGRUPACION DE ELECTORES DE HONTOBA;175;175;175
4;2015;5;176;AeF;AGRUPACION DE ELECTORES DE LA FUEVA;176;176;176
4;2015;5;177;AEL;AGRUPACION DE ELECTORES DE LANGAYO;177;177;177
4;2015;5;178;AGRUPACIÓN;AGRUPACIÓN DE ELECTORES DE LEINTZ-GATZAGA;178;178;178
4;2015;5;179;AGRUPACION;AGRUPACION DE ELECTORES DEL MUNICIPIO DE PAJARES D;179;179;179
4;2015;5;180;AEMI;AGRUPACION DE ELECTORES DE MIRONCILLO;180;180;180
4;2015;5;181;AE MURILLO;AGRUPACIÓN DE ELECTORES DE MURILLO DE GALLEGO;181;181;181
4;2015;5;182;A.E.N.C.;AGRUPACIÓN DE ELECTORES DE NIEVA DE CAMEROS;182;182;182
4;2015;5;183;AGRUPACIÓN;AGRUPACIÓN DE ELECTORES DE OCENILLA, CIDONES, VILL;183;183;183
4;2015;5;184;OREAN@S;AGRUPACIÓN DE ELECTORES DE OREA;184;184;184
4;2015;5;185;AGRUPACION;AGRUPACION DE ELECTORES DE PADILLA DE ARRIBA;185;185;185
4;2015;5;186;ADEPART;AGRUPACION DE ELECTORES DE PARTALOA;186;186;186
4;2015;5;187;AEP;AGRUPACION DE ELECTORES DE PORRIÑO;187;187;187
4;2015;5;188;AGRUPACIÓN;AGRUPACIÓN DE ELECTORES DE ROJAS;188;188;188
4;2015;5;189;SCT;AGRUPACION DE ELECTORES DE SANTA CROYA DE TERA;189;189;189
4;2015;5;190;A.E.S.P.;AGRUPACION DE ELECTORES DE SERRANILLOS PLAYA;190;190;190
4;2015;5;191;AET;AGRUPACION DE ELECTORES DE TORREPEROGIL;191;191;191
4;2015;5;192;AETRA;AGRUPACION DE ELECTORES DE TRAGACETE;192;192;192
4;2015;5;193;AEV;AGRUPACION DE ELECTORES DE VALDEGRUDAS;193;193;193
4;2015;5;194;AGRUPACIÓN;AGRUPACIÓN DE ELECTORES DE VILLAR DEL RIO;194;194;194
4;2015;5;195;AEY;AGRUPACION DE ELECTORES DE YANGUAS;195;195;195
4;2015;5;196;Écija PUEDE;AGRUPACIÓN DE ELECTORES ÉCIJA PUEDE;196;196;196
4;2015;5;197;AGRUPACIÓN;"AGRUPACIÓN DE ELECTORES ""ELGORRIAGA""";197;197;197
4;2015;5;92090;EG-CP;ESQUERRA GALERENCA-CANDIDATURA DE PROGRÉS;4370;4370;4319
4;2015;5;92091;ERC - AM;ESQUERRA MUNICIPAL - ACORD MUNICIPAL;2115;2115;2115
4;2015;5;92093;EPiB-FIC;ESQUERRA PASSANANT I BELLTALL-FEDERACIO D'INDEPEND;2271;2271;2271
4;2015;5;92094;EpB - AM;ESQUERRA PER BALAGUER - ACORD MUNICIPAL;2115;2115;2115
4;2015;5;92095;EP-AM;ESQUERRA PLANERA-ACORD MUNICIPAL;2115;2115;2115
4;2015;5;92096;ERC - AM;ESQUERRA REPUBLICANA - ACORD MUNICIPAL;2115;2115;2115
4;2015;5;92097;ERC-AM;ESQUERRA REPUBLICANA-ACORD MUNICIPAL;2115;2115;2115
4;2015;5;92099;ERC-AM;ESQUERRA REPUBLICANA CATALUNYA ACORD MUNICIPAL;2115;2115;2115
