CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX
0905903005;09;3;05;150;268;16;31;225;219;10;39;23
0905905018;09;5;18;86;64;0;11;249;43;2;10;15
0905905019;09;5;19;48;107;1;13;202;89;6;11;13
0905905020;09;5;20;48;112;1;5;150;114;8;15;12
0905905021;09;5;21;44;97;2;20;215;86;2;12;14
0905905022;09;5;22;82;81;6;20;257;126;7;9;20
0905905023;09;5;23;73;77;6;14;207;104;9;11;7
0905905046;09;5;46;88;113;5;17;129;134;5;10;4
0905905047;09;5;47;214;339;12;28;179;260;8;39;12
0905905048;09;5;48;89;139;2;22;150;102;2;10;14
0905909044;09;9;44;102;183;10;19;149;180;6;17;15
